# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
Q0100+13,2.309,21.37,0.08,-1.2,0.11,-3.07,-3.961,-0.891
Q0102−190,2.37,21.0,0.08,-1.61,0.11,-3.48,-4.95,-1.47
Q0112+030,2.423,20.9,0.1,-0.95,0.14,-2.82,-3.794,-0.973
Q0112−306,2.418,20.5,0.08,-1.92,0.11,-3.79,-5.26,-1.47
Q0112−306,2.702,20.3,0.1,-0.173,0.14,-2.058,-2.697,-0.638
Q0135−273,2.8,21.0,0.1,-1.25,0.2,-3.12,-4.516,-1.396
Q0149+33,2.141,20.5,0.1,-1.32,0.16,-3.19,-4.192,-1.002
Q0151+0448,1.934,20.36,0.1,-1.57,0.13,-3.44,-4.769,-1.329
Q0201+1120,3.386,21.26,0.1,-1.0,0.19,-2.87,-4.34,-1.47
Q0201+36,2.463,20.38,0.04,0.156,0.11,-1.732,-2.346,-0.614
Q0201+365,2.463,20.38,0.05,-0.17,0.1,-2.04,-2.849,-0.809
Q0216+0803,2.293,20.4,0.08,-0.21,0.13,-2.08,-2.809,-0.729
Q0242−2917,2.56,20.9,0.1,-1.59,0.13,-3.46,-4.93,-1.47
Q0254−4025,2.046,20.45,0.08,-1.32,0.11,-3.19,-4.519,-1.329
Q0300−3152,2.179,20.8,0.1,-1.52,0.13,-3.39,-4.483,-1.092
Q0302−223,1.009,20.36,0.11,-0.142,0.15,-2.032,-2.633,-0.601
Q0335−1213,3.18,20.78,0.1,-1.92,0.2,-3.79,-5.26,-1.47
Q0336−01,3.062,21.2,0.1,-1.09,0.13,-2.96,-3.84,-0.88
Q0347−38,3.025,20.63,0.01,-1.14,0.08,-3.01,-3.926,-0.916
Q0405−443,2.622,20.47,0.1,-1.57,0.14,-3.44,-4.384,-0.943
Q0405−443,2.595,21.09,0.1,-0.66,0.13,-2.53,-3.282,-0.752
Q0405−443,2.55,21.13,0.1,-0.95,0.14,-2.82,-3.602,-0.782
Q0421−2624,2.157,20.65,0.1,-1.44,0.12,-3.31,-4.284,-0.973
Q0425−5214,2.224,20.3,0.1,-1.1,0.13,-2.97,-3.825,-0.855
Q0432−4401,2.302,20.95,0.1,-0.91,0.17,-2.78,-3.671,-0.891
Q0449−1645,1.007,20.98,0.07,-0.61,0.12,-2.48,-3.232,-0.752
